state,item_name,rasa,virya,vipaka,dosha_impact,effect_on_agni,best_use_case
Gujarat,Bajri Khichdi,"Uttama (sweet, bitter)",Ushna (heat-producing),Madhura (sweet),Balances Vata and Pitta,Enhances digestive strength,Comfort food during winter
Gujarat,Puran Poli,Madhura (sweet),Ushna (heat-producing),Madhura (sweet),"Balances Vata and Kapha, may increase Pitta",Enhances digestive fire (agni),Served during festivals and celebrations
Gujarat,Chaas,"Madhura (sweet, sour)",Shita (cooling),Madhura (sweet),Balances Pitta and Vata,Soothes the digestive system,Best served as a drink with meals
Gujarat,Methi Thepla,"Uttama (bitter, sweet)",Ushna (heat-producing),Madhura (sweet),"Balances Vata and Kapha, may increase Pitta",Enhances digestive function,Ideal for breakfast or snacks
Gujarat,Patra,"Uttama (bitter, salty)",Ushna (heat-producing),Madhura (sweet),Balances Vata and Kapha,Supports digestion,Served as a snack
Gujarat,Dal Dhokli,"Madhura (sweet, salty)",Ushna (heat-producing),Madhura (sweet),"Balances Vata and Kapha, may increase Pitta",Enhances digestive fire,Comfort meal during cold weather
Gujarat,Pav Bhaji,"Uttama (spicy, sweet)",Ushna (heat-producing),Madhura (sweet),"Balances Vata and Kapha, may increase Pitta",Stimulates digestion,Street food during outings
Gujarat,Rasawala Handvo,"Madhura (spicy, sweet)",Ushna (heat-producing),Madhura (sweet),Balances Vata and Kapha,Enhances digestion,Perfect as a savory snack
Gujarat,Khichdi,"Uttama (sweet, bitter)",Ushna (heat-producing),Madhura (sweet),Balances Vata and Kapha,Soothes and nourishes the digestive system,Traditional comfort food
Gujarat,Daal,"Madhura (sweet, salty)",Ushna (heat-producing),Madhura (sweet),Balances Vata and Pitta,Supports digestive fire,Served with rice or roti
Gujarat,Gatte ki Sabzi,"Madhura (spicy, sweet)",Ushna (heat-producing),Madhura (sweet),Balances Vata and Pitta,Enhances digestive fire,Best served with roti
Gujarat,Sukhdi,Madhura (sweet),Ushna (heat-producing),Madhura (sweet),Balances Vata and Kapha,Enhances digestive power,Served as a dessert
Gujarat,Kadhi Pakora,"Madhura (spicy, sour)",Ushna (heat-producing),Madhura (sweet),"Balances Vata and Kapha, may increase Pitta",Stimulates digestion,Comfort food during meals
Gujarat,Aloo Paratha,Madhura (sweet),Ushna (heat-producing),Madhura (sweet),Balances Vata and Kapha,Supports digestive strength,Ideal for breakfast or brunch
Gujarat,Gajar Halwa,Madhura (sweet),Ushna (heat-producing),Madhura (sweet),Balances Vata and Kapha,Enhances digestive fire,Sweet dish served as dessert
Gujarat,Murmura Ladoo,Madhura (sweet),Ushna (heat-producing),Madhura (sweet),Balances Vata and Pitta,Supports digestion,As a snack or light dessert
Gujarat,Khash Khas Halwa,Madhura (sweet),Ushna (heat-producing),Madhura (sweet),Balances Vata and Kapha,Enhances digestive power,Served as a festive dessert
Gujarat,Dhokla,Uttama,Ushna,Madhura,Pacifies Vata and Pitta,Stimulates Agni,Healthy snack or breakfast item
Gujarat,Khandvi,Uttama,Ushna,Madhura,Balances Vata and Kapha,Promotes Agni,Appetizer or snack
Gujarat,Thepla,Madhura,Ushna,Madhura,Balances Vata and Pitta,Supports Agni,Main course with yogurt
Gujarat,Fafda,Amlodara,Ushna,Katu,Increases Vata,Agni stimulating,Breakfast or snack with chutney
Gujarat,Handvo,Madhura,Ushna,Madhura,Balances all doshas,Enhances Agni,Meal or snack option
Gujarat,Puran Poli,Madhura,Ushna,Madhura,Balances Vata and Pitta,Comforts Agni,Festive meal or special occasions
Gujarat,Undhiyu,Madhura,Ushna,Madhura,Balances Vata and Kapha,Enhances Agni,Main dish during winter months
Gujarat,Sev Tameta nu Shaak,Amlodara,Ushna,Madhura,Balances Pitta and Vata,Stimulates Agni,Side dish with roti
Gujarat,Dal Dhokli,Madhura,Ushna,Madhura,"Balances Vata, Pitta, and Kapha",Supports Agni,Comfort food during monsoon
Gujarat,Rotlo,Madhura,Ushna,Madhura,Balances Prithvi and Apas,Supports Agni,Traditional food with vegetables
Gujarat,Bhindi Masala,Amlodara,Ushna,Madhura,Balances Kapha and Vata,Stimulates Agni,Side dish with roti or rice
Gujarat,Methi Thepla,Madhura,Ushna,Madhura,Balances Vata and Pitta,Aids Agni,Healthy breakfast or lunch
Gujarat,Aloo Gobi,Amlodara,Ushna,Madhura,Balances Vata and Kapha,Supports Agni,Side dish with rice or roti
Gujarat,Kadhi,Amlodara,Ushna,Madhura,Balances Pitta and Vata,Stimulates Agni,Side dish with rice
Gujarat,Daal,Madhura,Ushna,Madhura,Balances all doshas,Strengthens Agni,Main course with rice
Gujarat,Masoor Dal,Madhura,Ushna,Madhura,Pacifies Vata and Pitta,Promotes Agni,Main dish with rice or roti
Gujarat,Chana Dal,Madhura,Ushna,Madhura,Balances Vata and Pitta,Enhances Agni,Main course with rice
Gujarat,Gujarati Pesarattu,Madhura,Ushna,Madhura,Balances all doshas,Strengthens Agni,Breakfast item
Gujarat,Chaas,Madhura,Ushna,Madhura,Balances Pitta and Vata,Aids digestion,Digestive drink with meals
Gujarat,Shrikhand,Madhura,Ushna,Madhura,Balances Vata and Pitta,Can help in soothing,Dessert or festive sweet
Gujarat,Kadak Puri,Katu,Ushna,Madhura,Increases Vata,Stimulates Agni,Snack or breakfast option
Gujarat,Mango Kachumber,Amlodara,Ushna,Madhura,Balances Pitta,Stimulates Agni,Side salad with main dishes
Gujarat,Dhokla,Ushna,Ushna,Madhura,Pitta,Slightly enhances,Breakfast or snacks
Gujarat,Khandvi,Ushna,Ushna,Madhura,Pitta,Enhances,Snack or appetizer
Gujarat,Thepla,Madhura,Ushna,Madhura,Kapha,Balances,Breakfast or travel food
Gujarat,Undhiyu,Katu,Ushna,Katu,"Vata, Kapha",Enhances,"Main course, winter dish"
Gujarat,Fafda,Katu,Ushna,Madhura,Vata,Enhances,Breakfast or snack
Gujarat,Dal Dhokli,Madhura,Shita,Madhura,"Vata, Pitta",Balances,"Main dish, comfort food"
Gujarat,Patra,Katu,Ushna,Madhura,Vata,Enhances,Snack or appetizer
Gujarat,Sev Tameta nu Shaak,Ushna,Ushna,Madhura,Pitta,Enhances,Accompaniment for rotis
Gujarat,Khichdi,Madhura,Shita,Madhura,"Vata, Pitta",Balances,Light meal
Gujarat,Sabudana Khichdi,Madhura,Ushna,Madhura,Kapha,Enhances,Fasting dish
Gujarat,Gajar Halwa,Madhura,Ushna,Madhura,"Vata, Pitta",Enhances,Dessert
Gujarat,Methi Thepla,Madhura,Ushna,Madhura,Kapha,Balances,Breakfast or tiffin
Gujarat,Bhindi ni Sabji,Katu,Ushna,Katu,Vata,Enhances,Main course
Gujarat,Chakri,Madhura,Ushna,Madhura,Kapha,Slightly enhances,Snack or festive food
Gujarat,Sutarfeni,Madhura,Ushna,Madhura,Kapha,Slightly enhances,Dessert or snack
Gujarat,Kobi nu Shaak,Madhura,Ushna,Madhura,"Vata, Kapha",Balances,Main course
Gujarat,Masala Papad,Katu,Ushna,Madhura,Vata,Enhances,Appetizer or accompaniment
Gujarat,Aloo-Tikki,Madhura,Ushna,Madhura,Kapha,Enhances,Snack or street food
Gujarat,Mung Dal Halwa,Madhura,Ushna,Madhura,"Vata, Pitta",Enhances,Dessert
Gujarat,Puran Poli,Madhura,Ushna,Madhura,"Vata, Kapha",Enhances,Main course or festive food
Gujarat,Pav Bhaji,Ushna,Ushna,Madhura,Vata,Enhances,Street food
Gujarat,Kadhi,Madhura,Shita,Madhura,"Vata, Pitta",Balances,Accompaniment with rice
Gujarat,Gulab Jamun,Madhura,Ushna,Madhura,Kapha,Balances,Dessert
Gujarat,Dhokla,Ushna,Laghu,Madhura,"Balancing for Vata and Kapha, aggravates Pitta",Sustains Agni,Snacks or breakfast
Gujarat,Khandvi,Ushna,Laghu,Madhura,"Balances Vata and Kapha, may aggravate Pitta",Stimulating,Appetizer or snack
Gujarat,Fafda,Ushna,Ushna,Madhura,"Balances Vata, aggravates Pitta and Kapha",Strengthens Agni,Morning snack or street food
Gujarat,Thepla,Madhura,Laghu,Madhura,Balancing for all doshas,Moderately strengthening,Breakfast or lunch
Gujarat,Handvo,Madhura,Ushna,Madhura,"Balances Vata and Kapha, may aggravate Pitta",Sustains Agni,Main course or snack
Gujarat,Patra,Ushna,Laghu,Madhura,"Balances Vata and Kapha, can aggravate Pitta",Stimulating,Snacks or tea time
Gujarat,Undhiyu,Madhura,Ushna,Madhura,Balances all doshas in moderation,Promotes Agni,Main course
Gujarat,Sev Tameta nu Shaak,Ushna,Laghu,Madhura,"Balances Vata and Kapha, may aggravate Pitta",Improves digestion,Side dish with roti
Gujarat,Khichdi,Madhura,Laghu,Madhura,Balances all doshas,Strengthens Agni,Comfort food or lunch
Gujarat,Lagani Kheer,Madhura,Ushna,Madhura,"Balances Vata and Pitta, can aggravate Kapha",Nourishing,Dessert
Gujarat,Bajra Khichdi,Madhura,Laghu,Madhura,Balances Vata and Kapha,Promotes digestion,Light meal or comfort food
Gujarat,Gujarati Dal,Madhura,Laghu,Madhura,Balances all doshas,Enhances digestion,Main course with rice
Gujarat,Bhel Puri,Ushna,Laghu,Madhura,"Balances Vata, aggravates Pitta",Stimulating,Snack or street food
Gujarat,Chhundo,Ushna,Ushna,Madhura,Balances Vata and Kapha,Stimulating,Condiment or side dish
Gujarat,Methi Thepla,Madhura,Laghu,Madhura,Balancing for all doshas,Strengthening,Breakfast or lunch
Gujarat,Sabudana Khichdi,Ushna,Laghu,Madhura,"Balances Vata, can aggravate Pitta",Strengthening,Fasting meal or snack
Gujarat,Lentil Pudding (Daal Dhokli),Madhura,Laghu,Madhura,Balances Vata and Pitta,Promotes digestion,Main meal
Gujarat,Dahi Chutney,Madhura,Laghu,Madhura,"Balances Vata, can aggravate Kapha",Supports digestion,Condiment with meals
Gujarat,Chaas (Buttermilk),Ushna,Laghu,Madhura,Balances all doshas,Supports digestion,Refreshing drink with meals
Gujarat,Puran Poli,Madhura,Ushna,Madhura,"Balances Vata and Pitta, may aggravate Kapha",Nourishing,Dessert or festive meal
Gujarat,Bhinda (Okra) Stir-Fry,Madhura,Laghu,Madhura,"Balances Vata and Pitta, aggravates Kapha",Stimulating,Side dish
Gujarat,Dal Baati Churma,Madhura,Ushna,Madhura,Balances all doshas,Strengthening,Main dish
Gujarat,Moong Dal Chilla,Madhura,Laghu,Madhura,Balancing for all doshas,Stimulating,Snack or breakfast
Gujarat,Srikhand,Madhura,Ushna,Madhura,"Balances Vata and Pitta, can aggravate Kapha",Nourishing,Dessert
Haryana,Bajra Khichdi,"Madhura, Amla",Ushna,Madhura,Vata-pacifying,Stimulates,Cold weather or during monsoon
Haryana,Churma,Madhura,Ushna,Madhura,Balancing for Vata and Pitta,Strengthens,Traditional desserts after meals
Haryana,Besan Masala Roti,"Madhura, Amla",Ushna,Katu,Vata and Pitta aggravating,Promotes,As a side dish with vegetables
Haryana,Bajra Roti,"Madhura, Amla",Ushna,Madhura,Vata pacifying,Stimulating,With seasonal vegetables
Haryana,Kaale Chane ki Sabzi,"Amla, Katu",Ushna,Katu,Kapha aggravating,Enhances,Pairing with roti or rice
Haryana,Gajar ka Halwa,Madhura,Ushna,Madhura,Balances Vata and Pitta,Strengthens,Festive occasions or desserts
Haryana,Methi Thepla,"Katu, Amla",Ushna,Amla,Balances Kapha and Vata,Enhances,Breakfast or snacks
Haryana,Daal Makhani,"Madhura, Amla",Ushna,Madhura,Balances Vata and Pitta,Nourishing to agni,Lunch with rice or roti
Haryana,Bhutte ka Kees,"Madhura, Amla",Ushna,Madhura,Balances Vata,Stimulating,As a snack
Haryana,Vegetable Pulao,"Madhura, Amla",Ushna,Madhura,Balances all doshas,Promotes,Main course meals
Haryana,Aloo Puri,"Madhura, Katu",Ushna,Madhura,Vata aggravating,Stimulating,Breakfast or special occasions
Haryana,Palak Paneer,"Amla, Katu",Ushna,Madhura,Balances Vata and Pitta,Promotes,With roti or rice
Haryana,Rajma,"Madhura, Katu",Ushna,Madhura,Vata aggravating,Nourishing,Lunch or dinner
Haryana,Bhindi Masala,Amla,Ushna,Katu,Balances Vata and Kapha,Stimulating,Accompaniment with roti
Haryana,Kadhi Pakora,"Amla, Katu",Ushna,Madhura,Vata aggravating,Promotes,Served with rice
Haryana,Sooji Halwa,Madhura,Ushna,Madhura,Balancing for all doshas,Stimulating,Dessert for celebrations
Haryana,Thalipeeth,"Madhura, Katu",Ushna,Madhura,Balances all doshas,Enhances,A nutritious meal item
Haryana,Dhokla,"Madhura, Katu",Ushna,Madhura,Balances all doshas,Stimulates,Snack or appetizer
Haryana,Puri,Madhura,Ushna,Madhura,Vata aggravating,Stimulating,With sabzi or curry
Haryana,Dhingri ki Sabzi,"Amla, Katu",Ushna,Madhura,Balances Vata and Pitta,Enhances,Pairing with roti
Haryana,Tawa Paneer,"Madhura, Amla",Ushna,Madhura,Balancing for Vata,Stimulating,With parathas or roti
Haryana,Vegetable Biryani,"Madhura, Katu",Ushna,Madhura,Balances all doshas,Promotes,Special occasions or parties
Haryana,Paneer Tikka,"Madhura, Katu",Ushna,Madhura,Balances all doshas,Stimulates,As an appetizer
Haryana,Kachori,"Madhura, Katu",Ushna,Madhura,Vata aggravating,Stimulating,As a snack or breakfast item
Haryana,Bajra Khichdi,"Madhura, Amla",Ushna,Madhura,Balances Vata and Kapha,Increases Agni,Ideal for cold weather
Haryana,Besan Chilla,"Amla, Uddhita",Ushna,Madhura,Balances Vata and Pitta,Stimulates Agni,Perfect for breakfast
Haryana,Bajra Roti,Madhura,Ushna,Madhura,Balances Vata,Strengthens Agni,Accompanies hearty meals
Haryana,Sarson da Saag,"Amla, Katu",Ushna,Katu,Balances Vata and Kapha,Increases Agni,Served with Makki di Roti in winters
Haryana,Dahi Bhalla,"Madhura, Amla",Sheetal,Madhura,Balances Pitta and Vata,Soothes Agni,Perfect for summer refreshment
Haryana,Vegetable Kadhi,"Amla, Madhura",Ushna,Madhura,Balances Vata and Kapha,Improves Agni,Served with rice
Haryana,Aloo Paratha,"Madhura, Amla",Ushna,Madhura,Balances Vata,Enhances Agni,Breakfast or brunch dish
Haryana,Puri with Chole,"Madhura, Amla",Ushna,Madhura,Balances Vata,Stimulates Agni,Festive occasions
Haryana,Rajma,Madhura,Ushna,Madhura,Balances Vata and Kapha,Improves Agni,Served with rice
Haryana,Methi Thepla,"Amla, Katu",Ushna,Madhura,Balances Vata,Enhances Agni,Good travel food
Haryana,Lassi,Madhura,Sheetal,Madhura,Balances Pitta,Soothes Agni,Refreshing summer drink
Haryana,Pindi Chole,Madhura,Ushna,Madhura,Balances Vata,Increases Agni,Hearty meal option
Haryana,Kachumber Salad,"Amla, Katu",Sheetal,Katu,Balances Pitta,Stimulates Agni,Accompanies main meals
Haryana,Chura and Dahi,"Madhura, Amla",Sheetal,Madhura,Balances Pitta,Soothes Agni,Light breakfast
Haryana,Sooji Halwa,Madhura,Ushna,Madhura,Balances Vata,Stimulates Agni,Dessert for festivals
Haryana,Palak Paneer,"Madhura, Amla",Ushna,Madhura,Balances Vata and Kapha,Improves Agni,Main dish with roti
Haryana,Hara Bhara Kabab,"Amla, Katu",Ushna,Madhura,Balances Vata,Enhances Agni,Snack option
Haryana,Kheer,Madhura,Sheetal,Madhura,Balances Vata and Pitta,Soothes Agni,Traditional dessert
Haryana,Dum Aloo,Madhura,Ushna,Madhura,Balances Vata,Increases Agni,Main course dish
Haryana,Aloo Gobi,"Amla, Katu",Ushna,Madhura,Balances Vata and Kapha,Stimulates Agni,Versatile side dish
Haryana,Tawa Paneer,"Madhura, Amla",Ushna,Madhura,Balances Vata and Pitta,Enhances Agni,Enjoyed with roti
Haryana,Dumplings,"Madhura, Uddhita",Ushna,Madhura,Balances Vata,Stimulates Agni,Perfect for appetizers
Haryana,Moong Dal,Madhura,Ushna,Madhura,Balances Vata,Strengthens Agni,Main dish with rice
Haryana,Bajra Khichdi,"Madhura, Amla",Ushna,Madhura,Vata and Kapha pacifying,Balancing,Healthy meal during winters
Haryana,Chaach,"Amla, Madhura",Shita,Amla,Pitta pacifying,Slightly stimulating,Refreshing drink in summer
Haryana,Cholia,"Madhura, Amla",Ushna,Madhura,Vata pacifying,Enhances,Protein-rich snack
Haryana,Daal Pakwan,"Madhura, Amla",Ushna,Madhura,Vata and Pitta pacifying,Strongly stimulating,Breakfast or brunch option
Haryana,Gajar Ka Halwa,Madhura,Ushna,Madhura,Pitta and Vata pacifying,Enhances,Dessert during festivals
Haryana,Kheer,Madhura,Ushna,Madhura,Vata and Pitta pacifying,Moderately enhancing,Festive drink and dessert
Haryana,Makki di Roti,"Madhura, Amla",Ushna,Madhura,Vata pacifying,Stimulating,Comfort food in winter
Haryana,Mixed Vegetable Sabzi,"Madhura, Amla, Katu",Ushna,Madhura,All doshas balancing,Enhances,Nutritious side dish
Haryana,Palak Paneer,"Madhura, Amla",Ushna,Madhura,Vata and Pitta pacifying,Moderately stimulating,Nutritious meal option
Haryana,Puri,Madhura,Ushna,Madhura,Vata and Kapha aggravating,Stimulating,Special occasions and meals
Haryana,Rabri,Madhura,Ushna,Madhura,Pitta aggravating,Enhances,Dessert or sweet treat
Haryana,Sarson da Saag,"Amla, Katu",Ushna,Madhura,Vata pacifying,Enhances,Winter meal staple
Haryana,Singhara Halwa,Madhura,Ushna,Madhura,Vata pacifying,Balancing,Snacking during fasting
Haryana,Sooji Halwa,Madhura,Ushna,Madhura,Vata pacifying,Enhances,Dessert during festivals
Haryana,Thalipeeth,"Madhura, Amla",Ushna,Madhura,Vata pacifying,Stimulating,Healthy breakfast option
Haryana,Vegetable Biryani,"Madhura, Amla",Ushna,Madhura,Vata balancing,Stimulating,Main course meal
Haryana,Vegetable Pulao,"Madhura, Amla",Ushna,Madhura,Vata balancing,Stimulating,Light meal option
Haryana,Aloo Gobi,"Madhura, Katu",Ushna,Madhura,Vata balancing,Enhances,Comfort food
Haryana,Cabbage Sabzi,"Katu, Amla",Ushna,Katu,Kapha pacifying,Enhances,Healthy side dish
Haryana,Karela Sabzi,"Katu, Amla",Ushna,Amla,Kapha pacifying,Enhances,Medicinal side dish
Haryana,Dum Aloo,"Madhura, Katu",Ushna,Madhura,Vata balancing,Stimulating,Rich side dish for meals
Haryana,Pongal,"Madhura, Amla",Ushna,Madhura,Vata pacifying,Balancing,Comforting meal
Haryana,Paneer Tikka,"Madhura, Amla",Ushna,Madhura,Vata and Pitta pacifying,Stimulating,Snack or starter
Haryana,Bajra Khichdi,"Madhura, Amla",Ushna,Madhura,Vata-Pacifying,Balancing,Cold weather nourishment
Haryana,Churma,Madhura,Ushna,Madhura,Vata-Pacifying,Stimulating,Dessert or energy booster
Haryana,Gajar Ka Halwa,"Madhura, Amla",Ushna,Madhura,Vata-Pacifying,Strengthening,Winter dessert
Haryana,Methi Thepla,"Katu, Amla",Ushna,Madhura,"Pitta-Pacifying, Vata-Kapha",Enhancing,Travel food
Haryana,Daal Makhani,"Amla, Madhura",Ushna,Madhura,Pitta-Pacifying,Balancing,Main course
Haryana,Hing Ka Achar,"Katu, Amla",Ushna,Katu,Vata-Pacifying,Stimulating,Condiment for meals
Haryana,Kheer,Madhura,Ushna,Madhura,Vata-Pacifying,Calming,Sweet dish for celebrations
Haryana,Besan Cheela,"Madhura, Katu",Ushna,Madhura,Vata-Pacifying,Balancing,Snack or breakfast
Haryana,Bitter Gourd Stir-Fry,"Katu, Tikta",Ushna,Katu,"Pitta-Pacifying, Kapha-Pacifying",Enhancing,Healthy side dish
Haryana,Aloo Paratha,Madhura,Ushna,Madhura,"Vata-Pacifying, Kapha-Pacifying",Balancing,Breakfast or lunch
Haryana,Raita,"Madhura, Amla",Ushna,Madhura,Balancing for all doshas,Soothing,Side dish with main courses
Haryana,Kadi Pakora,"Amla, Madhura",Ushna,Madhura,Pitta-Pacifying,Balancing,Comfort food during winters
Haryana,Makki di Roti,"Madhura, Amla",Ushna,Madhura,"Vata-Pacifying, Kapha-Pacifying",Balancing,Main course with vegetables
Haryana,Lassi,"Madhura, Amla",Ushna,Madhura,Vata-Pacifying,Balancing,Refreshing drink
Haryana,Palak Paneer,"Amla, Madhura",Ushna,Madhura,Balancing,Strengthening,Main dish with roti
Haryana,Puri,Madhura,Ushna,Madhura,"Vata-Pacifying, Kapha-Pacifying",Stimulating,Festival food
Haryana,Tomato Soup,"Amla, Madhura",Ushna,Madhura,Balancing,Stimulating,Starter or light meal
Haryana,Vegetable Pulao,"Amla, Madhura",Ushna,Madhura,Vata-Pacifying,Balancing,Main course
Haryana,Fried Rice,"Amla, Madhura",Ushna,Madhura,Vata-Pacifying,Stimulating,Quick meal
Haryana,Chaas (Buttermilk),Madhura,Ushna,Madhura,Pitta-Pacifying,Balancing,Digestive aid
Haryana,Vegetable Pakoras,"Madhura, Katu",Ushna,Madhura,Vata-Pacifying,Stimulating,Snacking
Haryana,Pongal,"Madhura, Amla",Ushna,Madhura,Balancing,Stimulating,Breakfast or lunch
Haryana,Sabzi (Mixed Vegetables),"Amla, Madhura",Ushna,Madhura,Balancing,Stimulating,Accompaniment to rice or roti
Haryana,Dum Aloo,"Madhura, Amla",Ushna,Madhura,Vata-Pacifying,Balancing,Main dish
Himachal Pradesh,Chana Madra,"Sweet, Salty",Cold,Sweet,Vata and Pitta balanced,Slightly strengthens,Main course during festive occasions
Himachal Pradesh,Siddu,Sweet,Warm,Sweet,Balances Vata and Kapha,Increases,Breakfast or snack with chutney
Himachal Pradesh,Dham,"Salty, Sweet",Warm,Sweet,Balances Vata and Pitta,Moderate,Festive or ceremonial meal
Himachal Pradesh,Kullu Trout (Vegetarian alternative made with veggies),"Salty, Umami",Warm,Salty,Vata and Kapha balanced,Strong,Main dish for lunch or dinner
Himachal Pradesh,Bhatur,Bitter,Warm,Pungent,Balances Kapha,Enhances,Accompaniment to curries
Himachal Pradesh,Samosa,"Savory, Spicy",Warm,Pungent,Balances Vata and Kapha,Stimulates,Snack or appetizer
Himachal Pradesh,Chaulai Ki Roti,Bitter,Neutral,Bitter,Balances Pitta,Balances,Healthy alternative bread
Himachal Pradesh,Gulkand,Sweet,Cold,Sweet,Balances Pitta,Soothing,Digestive aid or dessert
Himachal Pradesh,Bhaang Ki Chutney,"Spicy, Salty",Warm,Pungent,Balances Vata,Stimulating,Condiment for main dishes
Himachal Pradesh,Kadhi Chawal,"Sour, Salty",Warm,Pungent,Balances Vata and Kapha,Enhances,Comfort meal at home
Himachal Pradesh,Chur Chutney,"Sweet, Sour",Cold,Sweet,Balances Pitta,Cooling,Condiment for snacks
Himachal Pradesh,Palak Patta Chaat,"Savory, Spicy",Warm,Pungent,Balances Vata,Stimulates,Appetizer or street food
Himachal Pradesh,Kullu Ka Shorba,"Salty, Spicy",Warm,Pungent,Balances Vata,Enhances,Soupy dish during cold weather
Himachal Pradesh,Tandoori Gobhi,Savory,Warm,Pungent,Balances Vata and Kapha,Stimulating,Snack or side dish with meals
Himachal Pradesh,Bhaang Ki Lassi,"Sweet, Salty",Cold,Sweet,Balances Pitta,Cooling,Refreshing drink
Himachal Pradesh,Chana Ka Saag,"Salty, Bitter",Warm,Bitter,Balances Pitta,Strengthening,Side dish with meals
Himachal Pradesh,Methi Thepla,"Bitter, Spicy",Warm,Pungent,Balances Vata,Stimulating,Breakfast or travel food
Himachal Pradesh,Aloo Paratha,"Savory, Butter",Warm,Sweet,Balances Vata,Stimulating,Breakfast or brunch meal
Himachal Pradesh,Corn and Spinach Tikki,Savory,Warm,Pungent,Balances Vata,Enhances,Snack or appetizer
Himachal Pradesh,Bajra Khichdi,"Bitter, Salty",Warm,Pungent,Balances Vata and Kapha,Stimulating,Comforting meal for wellness
Himachal Pradesh,Halva (made from wheat or semolina),Sweet,Warm,Sweet,Balances Vata,Enhances,Dessert for celebrations
Himachal Pradesh,Vegetable Pulao,"Salty, Spicy",Warm,Pungent,Balances Vata and Kapha,Stimulating,Main dish for lunch or dinner
Himachal Pradesh,Kashmiri Rajma (vegetarian variant),"Salty, Sweet",Warm,Sweet,Balances Vata and Pitta,Moderate,Main dish with rice
Himachal Pradesh,Sidu,"Sweet, Salty",Heating,Sweet,Balances Vata and Kapha,Enhances Agni,"Breakfast or snack, particularly in winter"
Himachal Pradesh,Chana Madra,Sour,Heating,Sweet,Balances Vata and Kapha,Stimulates Agni,Main course with rice
Himachal Pradesh,Dham,"Sweet, Sour",Cooling,Sweet,Balances Pitta,Moderates Agni,Festive occasions and community gatherings
Himachal Pradesh,Patande,Sweet,Heating,Sweet,Balances Vata and Kapha,Enhances Agni,Snack or breakfast item
Himachal Pradesh,Bhaat,Sweet,Neutral,Sweet,Balances all doshas,Nourishing for Agni,Main meal dish
Himachal Pradesh,Mandi,"Sweet, Sour",Heating,Sweet,Balances Vata,Stimulates Agni,Traditional feast item
Himachal Pradesh,Chole,"Sour, Spicy",Heating,Pungent,Balances Vata and Kapha,Enhances Agni,Main dish with rice or bread
Himachal Pradesh,Green Peas Pulao,Sweet,Cooling,Sweet,Balances Pitta,Strengthens Agni,Light meal or lunch
Himachal Pradesh,Kullu Trout Chutney,"Spicy, Sour",Heating,Pungent,Balances Vata,Stimulates Agni,Condiment for meals
Himachal Pradesh,Baji,"Sweet, Salty",Heating,Sweet,Balances Vata and Kapha,Enhances Agni,Snack or side dish
Himachal Pradesh,Rajma,"Sweet, Spicy",Heating,Sweet,Balances Vata and Kapha,Stimulates Agni,Main course with rice
Himachal Pradesh,Aloo Ka Raita,"Sweet, Salty",Cooling,Sweet,Balances Pitta,Moderates Agni,Accompaniment to spicy dishes
Himachal Pradesh,Gehun Ka Halwa,Sweet,Heating,Sweet,Balances Vata,Enhances Agni,Dessert or festive sweet
Himachal Pradesh,Sooji Ka Halwa,Sweet,Heating,Sweet,Balances Vata,Enhances Agni,Dessert or breakfast
Himachal Pradesh,Chutney,"Spicy, Sour",Heating,Pungent,Balances Vata,Stimulates Agni,Accompaniment for main dishes
Himachal Pradesh,Dhaliye,"Bitter, Astringent",Cooling,Astringent,Balances Pitta,Moderates Agni,Light meal or side dish
Himachal Pradesh,Palak Daal,"Sweet, Bitter",Heating,Sweet,Balances Vata,Stimulates Agni,Main dish with roti
Himachal Pradesh,Kandalee Ka Saag,"Bitter, Pungent",Cooling,Bitter,Balances Pitta,Moderates Agni,Side dish with flatbread
Himachal Pradesh,Paneer Bhurji,"Sweet, Salty",Heating,Sweet,Balances Vata,Stimulates Agni,Breakfast or brunch
Himachal Pradesh,Bitter Gourd Stir Fry,"Bitter, Astringent",Heating,Bitter,Balances Kapha,Enhances Agni,Side dish with rice
Himachal Pradesh,Soya Bean Curry,"Sweet, Spicy",Heating,Pungent,Balances Vata and Kapha,Stimulates Agni,Main dish with roti
Himachal Pradesh,Rice with Rajma,"Sweet, Spicy",Heating,Sweet,Balances Vata and Kapha,Enhances Agni,Main dish for lunch
Himachal Pradesh,Bhindi Masala,"Sweet, Astringent",Heating,Pungent,Balances Kapha,Stimulates Agni,Main dish or side dish
Himachal Pradesh,Sidu,"Madhura, Amla",Ushna,Madhura,"Kapha, Pitta",Increases,Best as a snack or breakfast.
Himachal Pradesh,Chana Madra,"Amla, Kashaya",Ushna,Madhura,"Vata, Pitta",Balancing,Ideal for lunch with rice.
Himachal Pradesh,Dhaman,"Madhura, Amla",Ushna,Madhura,"Kapha, Pitta",Stimulating,Served during festive occasions.
Himachal Pradesh,Chur Chutney,"Amla, Katu",Ushna,Katu,"Vata, Kapha",Enhances,Best served with parathas.
Himachal Pradesh,Kullu Trout,"Madhura, Amla",Ushna,Madhura,"Vata, Pitta",Strengthens,Ideal for winter meals.
Himachal Pradesh,Gahat Ki Dal,"Madhura, Amla",Ushna,Madhura,"Vata, Kapha",Balances,Great for lunch alongside rice.
Himachal Pradesh,Phaanu,"Madhura, Amla",Ushna,Madhura,"Vata, Pitta",Increases,Best as a light meal.
